trimesh\util.py:2064: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.10 it will stop working
2021-11-21 21:14:50,185 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: PauseAtHeight
2021-11-21 21:14:50,202 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: RetractContinue
2021-11-21 21:14:50,218 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: SearchAndReplace
2021-11-21 21:14:50,242 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: Stretch
2021-11-21 21:14:50,259 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: TimeLapse
2021-11-21 21:14:50,274 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: UsePreviousProbeMeasurements
2021-11-21 21:14:50,276 - WARNING - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadAllScripts [155]: Unable to create a folder for scripts: C:\Program Files\Ultimaker Cura 4.12.1\resources\scripts
2021-11-21 21:14:50,290 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: DisplayPrintInfosOnLCD
2021-11-21 21:14:50,306 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: GCodeDocumentation
2021-11-21 21:14:50,310 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: RetractTower
2021-11-21 21:14:50,322 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: SpeedTower
2021-11-21 21:14:50,335 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: TempFanTower
2021-11-21 21:14:50,371 - INFO - [MainThread] cura.CuraApplication.run [808]: Initializing machine manager
2021-11-21 21:14:50,382 - INFO - [MainThread] cura.CuraApplication.run [813]: Initializing container manager
2021-11-21 21:14:50,451 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService.loadAuthDataFromPreferences [239]: Attempting to load the auth data from preferences.
2021-11-21 21:14:50,460 - WARNING - [MainThread] UM.OutputDevice.OutputDeviceManager.removeOutputDevice [235]: Could not find output device with id digital_factory to remove
2021-11-21 21:14:50,588 - DEBUG - [MainThread] cura.Machines.MachineErrorChecker._rescheduleCheck [154]: New error check scheduled.
2021-11-21 21:14:50,622 - DEBUG - [MainThread] UM.Scene.Camera._preferencesChanged [252]: Changing perspective mode to orthographic.
2021-11-21 21:14:50,952 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [182]: Loading theme file: C:\Program Files\Ultimaker Cura 4.12.1\resources\themes\cura-dark\theme.json
2021-11-21 21:14:50,962 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [182]: Loading theme file: C:\Program Files\Ultimaker Cura 4.12.1\resources\themes\cura-light\theme.json
2021-11-21 21:14:51,627 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [287]: Loaded theme C:\Program Files\Ultimaker Cura 4.12.1\resources\themes\cura-light
2021-11-21 21:14:51,843 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [287]: Loaded theme C:\Program Files\Ultimaker Cura 4.12.1\resources\themes\cura-dark
2021-11-21 21:14:52,924 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin._createView [342]: Creating post processing plugin view.
2021-11-21 21:14:53,622 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin._createView [352]: Post processing view created.
2021-11-21 21:14:53,980 - WARNING - [MainThread] UM.Qt.Bindings.Theme.getIcon [144]: The icon 'search' is deprecated. Please use icon 'Magnifier' instead.
C:\build\Cura\4.12-exe\build\inst\lib\python3.8\site-packages\UM\Qt\QtApplication.py:316: DeprecationWarning: The icon 'search' is deprecated. Please use icon 'Magnifier' instead.
2021-11-21 21:14:54,134 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService._parseJWT [100]: There was no auth data or access token
2021-11-21 21:14:54,408 - WARNING - [MainThread] UM.Qt.QtApplication.__onQmlWarning [421]: file:///C:/Program Files/Ultimaker Cura 4.12.1/resources/qml/Settings/SettingView.qml:140:5: QML SettingVisibilityPresetsMenu: Binding loop detected for property "width"
2021-11-21 21:14:54,806 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService._parseJWT [100]: There was no auth data or access token
2021-11-21 21:14:54,814 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService._parseJWT [100]: There was no auth data or access token
2021-11-21 21:14:55,131 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-11-21 21:14:55,460 - DEBUG - [MainThread] UM.Controller.setActiveStage [180]: Setting active stage to PrepareStage
2021-11-21 21:14:55,637 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-11-21 21:14:56,018 - DEBUG - [MainThread] UM.Controller.setActiveView [108]: Setting active view to SolidView
2021-11-21 21:14:56,025 - DEBUG - [MainThread] ModelChecker.ModelChecker._createView [118]: Creating model checker view.
2021-11-21 21:14:56,051 - DEBUG - [MainThread] ModelChecker.ModelChecker._createView [127]: Model checker view created.
2021-11-21 21:14:56,052 - DEBUG - [MainThread] SliceInfoPlugin.SliceInfo._createDialog [76]: Creating dialog [MoreInfoWindow.qml]
2021-11-21 21:14:56,189 - DEBUG - [MainThread] UM.Logger.debug [122]: Requesting updates metadata from server.
2021-11-21 21:14:56,197 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService.getAccessToken [133]: No auth data to retrieve the access_token from
